,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
158,naze,92,JP,1666665157,56,28.3667,129.4833,68.92,18.92
159,ranau,49,MY,1666665158,73,5.9538,116.6641,81.7,1.23
160,barinas,100,VE,1666665158,95,8.6226,-70.2075,72.32,3.71
161,kasongo-lunda,100,CD,1666665158,97,-6.4667,16.8167,69.3,1.1
162,nanga eboko,72,IN,1666665159,49,27.5409,88.622,70.65,2.46
163,san cristobal,4,ML,1666665159,24,13.3034,-4.8956,81.45,6.6
164,bengkulu,100,ID,1666665159,88,-3.8004,102.2655,76.44,3.98
165,chekhov,86,RU,1666665160,86,55.1431,37.4711,30.09,3.06
166,ryotsu,65,JP,1666665160,57,38.0833,138.4333,58.05,12.91
167,touros,3,BR,1666665160,80,-5.1989,-35.4608,77.79,14.07
168,litoral del san juan,48,BR,1666665161,76,-30.0089,-50.1595,63.25,9.37
169,datong,55,CN,1666665022,23,40.0936,113.2914,58.3,4.94
170,nome,100,US,1666665161,70,64.5011,-165.4064,33.87,6.91
171,talnakh,100,RU,1666665161,96,69.4865,88.3972,24.21,6.64
172,tena,63,EC,1666665162,94,-0.9833,-77.8167,68.47,2.68
173,east london,100,IS,1666665162,99,65.0,-15.0,33.55,3.4
174,dolores,1,AR,1666665162,96,-36.3132,-57.6792,56.23,8.72
175,ilinge,99,ZA,1666665163,80,-31.9768,27.0427,58.75,5.17
176,tasiilaq,100,GL,1666665163,96,65.6145,-37.6368,30.65,13.24
177,horta,79,PT,1666665163,72,38.5333,-28.6333,66.02,11.01
178,karakol,100,KG,1666665164,63,42.4907,78.3936,43.92,3.74
179,yellowknife,100,CA,1666664979,74,62.456,-114.3525,28.92,9.22
180,mizdah,0,LY,1666665164,45,31.4451,12.9801,58.93,0.76
181,nanakuli,40,US,1666665164,59,21.3906,-158.1547,84.15,12.66
182,ahuimanu,40,US,1666665165,71,21.4447,-157.8378,83.91,17.27
183,bethel,100,US,1666665025,89,41.3712,-73.414,61.02,5.75
184,kingaroy,20,AU,1666665165,39,-26.5333,151.8333,85.32,10.2
185,yar-sale,67,RU,1666665166,96,66.8333,70.8333,20.61,7.65
186,ponta delgada,89,PT,1666665166,73,38.7333,-28.2667,61.66,28.83
187,saint-louis,100,SN,1666665166,64,16.3333,-15.0,82.44,5.23
188,grindavik,0,IS,1666665167,81,63.8424,-22.4338,43.27,8.05
189,sahaswan,0,IN,1666665167,48,28.0833,78.75,72.19,6.31
190,kloulklubed,100,PW,1666665167,80,7.0419,134.2556,83.34,22.35
191,niono,47,ML,1666665167,24,14.2526,-5.993,80.83,6.8
192,ariquemes,87,BR,1666665152,74,-9.9133,-63.0408,78.94,0.76
193,hue,75,VN,1666665168,100,16.4667,107.6,75.31,3.44
194,shiyan,100,CN,1666665168,45,32.6475,110.7781,65.59,3.47
195,vila velha,100,PT,1666665169,94,42.0304,-8.1588,52.68,3.27
196,palmer,100,US,1666665169,86,42.1584,-72.3287,58.33,3.44
197,basco,90,PH,1666665169,68,20.4487,121.9702,78.35,30.2
198,jaumave,28,MX,1666665170,89,23.4167,-99.3833,72.09,2.8
199,hilo,75,US,1666664993,83,19.7297,-155.09,80.33,6.91
200,salinopolis,83,BR,1666665170,76,-0.6136,-47.3561,79.68,11.65
201,makakilo city,40,US,1666665170,63,21.3524,-158.0865,81.75,17.27
202,chokwe,74,MZ,1666665171,85,-24.5333,32.9833,73.96,2.04
